gameid, time, condition, critical, objectSet, sender, contents
4528-5,1425931596305,exp,0,1,director,"move the airplane to the right"
4528-5,1425931605483,exp,1,1,director,"move the glasses to the right"
4528-5,1425931613055,exp,0,1,director,"move the barrel down"
4528-5,1425931636914,exp,0,1,director,"move the musical instrument up"
4528-5,1425931652027,base,0,5,director,"move the basketball down"
4528-5,1425931660856,base,1,5,director,"move the brush to the left"
4528-5,1425931678380,base,0,5,director,"move the headphones to the left"
4528-5,1425931683477,base,0,5,director,"move the book to the right"
4528-5,1425931688967,exp,0,4,director,"move the carrot up"
4528-5,1425931695268,exp,1,4,director,"move the large measuring cup down"
4528-5,1425931722366,exp,0,4,director,"move the bottle to the right"
4528-5,1425931735192,exp,0,4,director,"move the chair to the left"
4528-5,1425931746497,exp,0,8,director,"move the comb up"
4528-5,1425931752571,exp,1,8,director,"move the mouse up"
4528-5,1425931772152,exp,0,8,director,"move the pan up"
4528-5,1425931788459,exp,0,8,director,"move the piano to the left"
4528-5,1425931801330,base,0,3,director,"move the scissors to the right"
4528-5,1425931805805,base,0,3,director,"move the knife down"
4528-5,1425931828844,base,0,3,director,"move the bar of soap to the left"
4528-5,1425931834672,base,1,3,director,"move the the tape down"
4528-5,1425931843257,base,0,7,director,"move the magnet down"
4528-5,1425931861181,base,0,7,director,"move the handcuffs down"
4528-5,1425931874106,base,0,7,director,"move the panda down"
4528-5,1425931880311,base,1,7,director,"move the small candle down"
4528-5,1425931885981,exp,0,6,director,"move the banana up"
4528-5,1425931900585,exp,0,6,director,"move the dollar to the right"
4528-5,1425931906771,exp,1,6,director,"move the eraser up"
4528-5,1425931919010,exp,0,6,director,"move the feather to the left"
4528-5,1425931924658,base,0,2,director,"move the binoculars to the right"
4528-5,1425931944067,base,0,2,director,"move the tool to the left"
4528-5,1425931953379,base,1,2,director,"move the bottom block to the left"
4528-5,1425931971783,base,0,2,director,"move the coffee mug to the right"
