gameid, time, condition, critical, objectSet, targetX, targetY, distractorX, distractorY, mouseX, mouseY
4528-5,1425931580479,exp,0,1,231.25,93.75,none,none,298,294
4528-5,1425931580620,exp,0,1,231.25,93.75,none,none,297,293
4528-5,1425931580627,exp,0,1,231.25,93.75,none,none,297,293
4528-5,1425931580635,exp,0,1,231.25,93.75,none,none,295,293
4528-5,1425931580644,exp,0,1,231.25,93.75,none,none,292,295
4528-5,1425931580652,exp,0,1,231.25,93.75,none,none,289,296
4528-5,1425931580660,exp,0,1,231.25,93.75,none,none,285,299
4528-5,1425931580669,exp,0,1,231.25,93.75,none,none,281,301
4528-5,1425931580676,exp,0,1,231.25,93.75,none,none,278,302
4528-5,1425931580685,exp,0,1,231.25,93.75,none,none,272,305
4528-5,1425931580692,exp,0,1,231.25,93.75,none,none,265,306
4528-5,1425931580700,exp,0,1,231.25,93.75,none,none,259,309
4528-5,1425931580709,exp,0,1,231.25,93.75,none,none,252,310
4528-5,1425931580717,exp,0,1,231.25,93.75,none,none,246,312
4528-5,1425931580725,exp,0,1,231.25,93.75,none,none,237,315
4528-5,1425931580733,exp,0,1,231.25,93.75,none,none,231,316
4528-5,1425931580741,exp,0,1,231.25,93.75,none,none,227,316
4528-5,1425931580749,exp,0,1,231.25,93.75,none,none,221,318
4528-5,1425931580757,exp,0,1,231.25,93.75,none,none,220,318
4528-5,1425931580765,exp,0,1,231.25,93.75,none,none,219,318
4528-5,1425931580773,exp,0,1,231.25,93.75,none,none,217,318
4528-5,1425931580781,exp,0,1,231.25,93.75,none,none,216,318
4528-5,1425931580797,exp,0,1,231.25,93.75,none,none,215,318
4528-5,1425931580813,exp,0,1,231.25,93.75,none,none,213,318
4528-5,1425931580821,exp,0,1,231.25,93.75,none,none,212,318
4528-5,1425931580829,exp,0,1,231.25,93.75,none,none,210,318
4528-5,1425931580837,exp,0,1,231.25,93.75,none,none,208,318
4528-5,1425931580853,exp,0,1,231.25,93.75,none,none,206,318
4528-5,1425931580861,exp,0,1,231.25,93.75,none,none,205,318
4528-5,1425931580869,exp,0,1,231.25,93.75,none,none,203,318
4528-5,1425931580877,exp,0,1,231.25,93.75,none,none,202,318
4528-5,1425931580893,exp,0,1,231.25,93.75,none,none,201,317
4528-5,1425931581069,exp,0,1,231.25,93.75,none,none,200,317
4528-5,1425931581085,exp,0,1,231.25,93.75,none,none,200,317
4528-5,1425931581437,exp,0,1,231.25,93.75,none,none,199,317
4528-5,1425931581445,exp,0,1,231.25,93.75,none,none,197,317
4528-5,1425931581552,exp,0,1,231.25,93.75,none,none,196,317
4528-5,1425931581565,exp,0,1,231.25,93.75,none,none,196,318
4528-5,1425931581573,exp,0,1,231.25,93.75,none,none,196,319
4528-5,1425931581589,exp,0,1,231.25,93.75,none,none,193,320
4528-5,1425931581629,exp,0,1,231.25,93.75,none,none,192,320
4528-5,1425931581869,exp,0,1,231.25,93.75,none,none,192,322
4528-5,1425931581893,exp,0,1,231.25,93.75,none,none,192,322
4528-5,1425931582029,exp,0,1,231.25,93.75,none,none,192,322
4528-5,1425931582037,exp,0,1,231.25,93.75,none,none,192,323
4528-5,1425931582085,exp,0,1,231.25,93.75,none,none,192,324
4528-5,1425931582381,exp,0,1,231.25,93.75,none,none,192,325
4528-5,1425931582397,exp,0,1,231.25,93.75,none,none,192,326
4528-5,1425931582413,exp,0,1,231.25,93.75,none,none,192,327
4528-5,1425931582437,exp,0,1,231.25,93.75,none,none,192,328
4528-5,1425931582597,exp,0,1,231.25,93.75,none,none,192,326
